DK_NAME[시설명],DK_BRIEF_NAME[시설약칭],EVENT_GUBUN[이벤트 분류],EVENT_NAME[이벤트 명],RENT_START_YMD,RENT_END_YMD,DK_DAY[사용 일수],SIN_PERSON[신청 행사 인원,JS_PERSON[정산 행사인원] - 실제 참여 인원
핸드볼보조경기장,핸드볼보조경기장,체육행사,2016년 1월 핸드볼팀 훈련,20160101,20160119,16,570,354
우리금융아트홀 연습실,,문화예술행사,기획대관 나무야나무야(1월),20160101,20160131,31,3151,3151
KSPO DOME(체조경기장),제1체육관,문화예술행사,이승철 팬미팅,20160102,20160105,4,6000,
우리금융아트홀,제3체육관,문화예술행사,뮤지컬 터닝메카드,20160104,20160229,57,58727,
우리금융아트홀,제3체육관,문화예술행사,뮤지컬 터닝메카드,20160104,20160229,57,58727,58727
우리금융아트홀,제3체육관,문화예술행사,뮤지컬 터닝메카드,20160104,20160229,57,58727,58727
KSPO DOME(체조경기장),제1체육관,문화예술행사,콘서트 <그날들>,20160106,20160109,4,10500,
핸드볼경기장,핸드볼경기장,문화예술행사,올바른 의료문화를 위한 강연회,20160109,20160109,1,5000,
KSPO DOME(체조경기장),제1체육관,문화예술행사,제5회 가온차트 K-pop Awards,20160110,20160113,4,8000,
핸드볼경기장,핸드볼경기장,문화예술행사,GOT7 ♥ I GOT7 2ND FAN MEETING(갓세븐 팬미팅),20160115,20160117,3,3500,3079
올림픽홀,올림픽홀,문화예술행사,배우 박보검 팬미팅,20160116,20160116,1,3000,
올림픽홀,올림픽홀,대중공연,Mercedes Benz New Year&apos;s Concert 2016,20160121,20160124,4,2200,
핸드볼경기장,핸드볼경기장,체육행사,2016 대학핸드볼선수권대회,20160122,20160126,5,0,
올림픽홀,올림픽홀,대중공연,N.C.T SHOWCASE,20160124,20160125,2,1500,
KSPO DOME(체조경기장),제1체육관,문화예술행사,제25회 서울가요대상,20160124,20160128,5,7000,
KSPO DOME(체조경기장),제1체육관,문화예술행사,BIGBANG(빅뱅) 2016 MADE TOUR IN SEOUL 앵콜 공연,20160125,20160201,8,28000,
KSPO DOME(체조경기장),제1체육관,문화예술행사,iKON 2016 CONCERT,20160125,20160201,8,26000,18135
KSPO DOME(체조경기장),제1체육관,문화예술행사,BIGBANG 2016 MADE TOUR IN SEOUL 앵콜공연,20160125,20160201,8,14000,
올림픽홀,올림픽홀,대중공연,2016 에프엑스 f(x) 첫번째 콘서트,20160126,20160201,7,8000,8450
뮤즈라이브,뮤즈라이브,문화예술행사,소울스타 콘서트,20160128,20160131,4,400,620
우리금융아트홀 연습실,,문화예술행사,기획대관 나무야나무야(2월),20160201,20160229,29,3000,156
핸드볼보조경기장,핸드볼보조경기장,체육행사,2016년 2월 핸드볼팀 훈련,20160202,20160229,20,840,487
핸드볼경기장,핸드볼경기장,문화예술행사,2016 세븐틴 콘서트,20160210,20160210,1,3500,
올림픽홀,올림픽홀,대중공연,2016 홍광호 콘서트,20160210,20160214,5,7500,
핸드볼경기장,핸드볼경기장,문화예술행사,2016 세븐틴 콘서트,20160210,20160215,6,3400,7130
KSPO DOME(체조경기장),제1체육관,문화예술행사,2015-16 브라운아이드소울 전국투어 콘서트 in 서울,20160210,20160215,6,16000,13899
올림픽홀,올림픽홀,대중공연,메르세데스 벤츠(Mercedes Benz) New Year's Concert 2016,20160211,20160213,3,2200,
핸드볼경기장,핸드볼경기장,문화예술행사,미카(MIKA) 내한공연,20160211,20160214,4,4000,
올림픽홀,올림픽홀,대중공연,제5회 가온차트 K-POP 어워드,20160214,20160217,4,4000,2890
핸드볼경기장,핸드볼경기장,문화예술행사,B.A.P LIVE ON EARTH 2016,20160215,20160222,8,7700,5610
KSPO DOME(체조경기장),제1체육관,문화예술행사,인피니트 2nd World Tour INFINITE EFFECT 앵콜,20160215,20160222,8,21000,20028
핸드볼경기장,핸드볼경기장,문화예술행사,미카(MIKA) 내한공연,20160218,20160221,4,4000,
올림픽홀,올림픽홀,대중공연,2016 엠씨더맥스 8집 앨범 발매 기념 콘서트,20160218,20160222,5,5000,5030
뮤즈라이브,뮤즈라이브,문화예술행사,하모니시스트 이예영의 첫 단독콘서트,20160220,20160220,1,237,122
올림픽홀,올림픽홀,대중공연,미카 내한공연 (MIKA Live In Korea),20160222,20160224,3,2900,
핸드볼경기장,핸드볼경기장,문화예술행사,통일한마음문화축제,20160224,20160225,2,0,
KSPO DOME(체조경기장),제1체육관,문화예술행사,god콘서트 앵콜,20160225,20160228,4,10000,
